root_x,root_y,root_z,lfemur_x,lfemur_y,lfemur_z,lfoot_x,lfoot_y,lfoot_z,rfemur_x,rfemur_y,rfemur_z,rfoot_x,rfoot_y,rfoot_z
0.0501492,17.0635,-27.6745,1.007927715,7.975037335,-25.05049819,0.237780059,0.510719325,-26.85256142,-1.923449423,8.003622218,-25.15372053,-1.499223321,5.641868304,-33.86133341
0.0621125,17.0272,-27.2041,0.991138984,7.864427348,-24.85559518,0.25698577,0.499332732,-26.86514751,-1.954110805,8.08207806,-24.31624724,-1.514809013,5.448259209,-32.91723776
0.0709308,17.0162,-26.732,0.978282508,7.789432427,-24.69088602,0.238143193,0.493279609,-26.86815558,-1.982370697,8.198649292,-23.48839416,-1.519067092,5.211548876,-31.951086
0.0785725,17.0366,-26.2472,0.969715478,7.75467319,-24.52855306,0.251537309,0.516007455,-26.88229709,-1.985475208,8.353272443,-22.67829633,-1.518856454,4.975073411,-30.95503544
0.0787538,17.0682,-25.7568,0.963129064,7.742840498,-24.37790732,0.264545923,0.527890178,-26.89094501,-1.960274759,8.516453039,-21.89622808,-1.506941948,4.745709122,-30.05260454
0.0792483,17.1138,-25.2581,0.951922834,7.7577227,-24.22832753,0.266464671,0.545036067,-26.88959946,-1.910889389,8.691761457,-21.14500999,-1.494052301,4.47707879,-29.07787146
0.0815643,17.1805,-24.7515,0.943180756,7.818611801,-24.07679868,0.253823947,0.616360097,-26.87322479,-1.85846072,8.878167723,-20.41673277,-1.47503272,4.184855264,-28.01581543
0.074866,17.2544,-24.2367,0.949388833,7.906747341,-23.9289568,0.243589586,0.691367174,-26.85382174,-1.802398452,9.050987407,-19.70799359,-1.46287634,3.892434487,-26.92816185
0.0603139,17.3258,-23.7165,0.957297763,7.993907179,-23.77885854,0.227378612,0.739950536,-26.8395924,-1.738585329,9.220730208,-19.02144667,-1.432065489,3.60080445,-25.85094011
0.0456615,17.4189,-23.1824,0.959949455,8.106928889,-23.5935385,0.188554259,0.806167922,-26.79655408,-1.670798903,9.4075226,-18.36814851,-1.392073638,3.322815951,-24.77687768
0.0290394,17.5146,-22.6389,0.966005145,8.238133136,-23.38535515,0.188826827,0.878214758,-26.74508244,-1.608966672,9.581551439,-17.7339703,-1.366631272,3.061394527,-23.63842493
0.0118541,17.6081,-22.0937,0.982281899,8.38427351,-23.1686272,0.214974769,0.950411292,-26.68247122,-1.540131096,9.73062347,-17.11774588,-1.344855077,2.830332483,-22.4418611
0.00273601,17.6976,-21.5503,1.006413019,8.539434145,-22.93694193,0.249104317,1.014176736,-26.60767397,-1.475130672,9.864113441,-16.51722217,-1.31582285,2.613130253,-21.25057395
-0.00334794,17.7821,-21.0008,1.020288433,8.69688738,-22.69137805,0.300811182,1.063754047,-26.53071334,-1.429942913,9.986391276,-15.94319606,-1.295381367,2.407316934,-20.06854032
-0.00924903,17.8699,-20.4415,1.03334166,8.869119626,-22.43993148,0.394624611,1.112658588,-26.45411777,-1.39403746,10.089663,-15.39781995,-1.287349844,2.23191643,-18.89978832
-0.0122364,17.96,-19.8791,1.059907628,9.068986197,-22.18597602,0.519369144,1.186481463,-26.38097781,-1.358742054,10.16117956,-14.87049506,-1.278836441,2.087084576,-17.73034603
-0.00808088,18.0401,-19.3107,1.08912655,9.277409795,-21.92406972,0.636948045,1.301897219,-26.27302073,-1.3309263,10.20976678,-14.35760473,-1.268695143,1.962021712,-16.56305237
-0.0058272,18.1118,-18.7388,1.124527794,9.49025337,-21.66081718,0.761597712,1.407016705,-26.31901361,-1.305971759,10.23842861,-13.8619065,-1.266199655,1.861464547,-15.41309927
-0.00860858,18.1876,-18.176,1.166573796,9.711784268,-21.39327236,0.873731919,1.602204962,-26.019435,-1.27914439,10.2594223,-13.39233769,-1.260489339,1.796969875,-14.28486454
-0.00508154,18.2539,-17.6174,1.212936053,9.929150949,-21.09249552,0.956482436,1.818974094,-25.84556362,-1.26004805,10.25784207,-12.94071715,-1.253124871,1.736420189,-13.18594187
0.00446322,18.3138,-17.064,1.25163887,10.11437624,-20.73789405,1.011236602,2.062518054,-25.64008411,-1.238042135,10.24192127,-12.50965782,-1.259682511,1.700985792,-12.12078963
0.0129032,18.3674,-16.5143,1.271478626,10.23853771,-20.29625729,1.034757661,2.323231779,-25.52326981,-1.204676468,10.207131,-12.09303625,-1.267020309,1.692540046,-11.10296829
0.0199731,18.4043,-15.9678,1.276243454,10.29622429,-19.77856798,1.044827922,2.598709246,-25.32355195,-1.164006841,10.14984117,-11.67490283,-1.265727366,1.694625322,-10.12692704
0.0284674,18.4174,-15.4271,1.266913735,10.29600183,-19.20595721,1.061266109,2.87151331,-25.04141135,-1.134019744,10.0775331,-11.25887367,-1.254568559,1.717047249,-9.202418008
0.0344358,18.4185,-14.8833,1.244235635,10.26333039,-18.58071394,1.095559456,3.158041333,-24.7361486,-1.112059124,9.995031775,-10.84159729,-1.237213218,1.760350464,-8.352499265
