root_x,root_y,root_z,lfemur_x,lfemur_y,lfemur_z,lfoot_x,lfoot_y,lfoot_z,rfemur_x,rfemur_y,rfemur_z,rfoot_x,rfoot_y,rfoot_z
-0.307087,17.6356,-28.2214,0.526184259,8.830788707,-24.49705098,-0.373806466,0.65181116,-24.21755383,-1.840030699,8.501810518,-28.50120312,-1.973049729,6.78512619,-37.74789385
-0.303728,17.5624,-27.7253,0.496261166,8.73725128,-24.06920862,-0.345466128,0.654275399,-24.17123532,-1.961581897,8.389087915,-27.61433352,-2.006320793,6.894566586,-36.88242349
-0.294208,17.4728,-27.2384,0.475119974,8.60362961,-23.70579412,-0.347635601,0.598964086,-24.12162761,-2.078880179,8.279477612,-26.70348819,-2.016448443,6.939138755,-35.98116791
-0.295148,17.4133,-26.748,0.469235313,8.514064768,-23.36683837,-0.365520483,0.592022436,-24.06942775,-2.200483168,8.199334092,-25.78694137,-2.012394239,6.934428281,-35.0509657
-0.308864,17.3487,-26.2763,0.467771129,8.428155369,-23.07255268,-0.361937973,0.590444629,-24.02733641,-2.332255491,8.127654211,-24.87246005,-2.012756002,6.844784964,-34.08716097
-0.321877,17.2953,-25.8061,0.458864515,8.335855977,-22.82037153,-0.34571605,0.578056534,-24.01341098,-2.452013985,8.105636972,-23.96001247,-2.018543581,6.685785987,-33.08528872
-0.323313,17.2551,-25.332,0.44598854,8.217306857,-22.58175068,-0.357404053,0.53906385,-24.00813801,-2.531034383,8.159546615,-23.05022246,-2.033112568,6.496127889,-32.04877577
-0.317224,17.2292,-24.8591,0.442975049,8.113153388,-22.36501922,-0.369947388,0.515360333,-24.01609451,-2.568621528,8.250671036,-22.15995491,-2.047269401,6.290824174,-31.03325795
-0.310115,17.2254,-24.3693,0.455994826,8.0400234,-22.17218825,-0.378574888,0.511894555,-24.03037806,-2.585893715,8.368239807,-21.28904692,-2.054256857,6.080539724,-30.06336132
-0.303804,17.2134,-23.8716,0.464433391,7.96810128,-21.98624746,-0.396688237,0.490479751,-24.03592002,-2.585062154,8.494784169,-20.4243117,-2.060239638,5.83896501,-29.09999965
-0.295624,17.2887,-23.345,0.477398355,7.988212545,-21.81624824,-0.408495434,0.550748555,-24.04556518,-2.565925867,8.705404971,-19.58568508,-2.055585371,5.603433131,-28.12860346
-0.30017,17.3584,-22.8246,0.494876927,8.024289448,-21.64254147,-0.406964423,0.606973707,-24.04133713,-2.533905757,8.914846567,-18.76277371,-2.058465597,5.329969067,-27.11276468
-0.305468,17.4259,-22.3004,0.520102639,8.074676765,-21.48392248,-0.411199514,0.661363697,-24.04908514,-2.486912544,9.113808002,-17.9728163,-2.06897422,5.022860796,-26.05892682
-0.309308,17.4746,-21.7827,0.552255108,8.123593878,-21.32902384,-0.413018498,0.701122156,-24.07081411,-2.428598558,9.293373982,-17.21008861,-2.064640891,4.697827216,-24.99092867
-0.319593,17.5602,-21.2475,0.587195631,8.218750724,-21.1539286,-0.421222395,0.775614413,-24.05201055,-2.366047646,9.493087798,-16.47293095,-2.047635889,4.389943032,-23.89071956
-0.336736,17.6546,-20.6999,0.626980117,8.33770378,-20.94357419,-0.415337973,0.843392575,-23.98089706,-2.294858621,9.689160626,-15.7489598,-2.029648297,4.0845748,-22.7161891
-0.34923,17.7521,-20.146,0.657468941,8.459307982,-20.71832888,-0.395268619,0.879023702,-23.89754851,-2.205229977,9.882835913,-15.05405637,-2.01524358,3.801946077,-21.47730535
-0.357455,17.8454,-19.5835,0.684306288,8.587663948,-20.49219032,-0.353101317,0.91545714,-23.8236331,-2.113603962,10.06073908,-14.38987203,-2.003415734,3.509512131,-20.40385139
-0.361134,17.936,-19.0151,0.715464201,8.738399978,-20.26457059,-0.295916687,0.967991049,-23.76005875,-2.029788915,10.21604433,-13.74518059,-1.995270946,3.234599144,-19.24597823
-0.363437,18.0331,-18.4479,0.748294721,8.912647566,-20.02080741,-0.203843696,1.019928056,-23.67273931,-1.949792179,10.35945314,-13.12060215,-1.971428766,2.991580805,-18.03138937
-0.361952,18.1239,-17.8746,0.776649347,9.091312745,-19.76521075,-0.064637602,1.066948155,-23.56114534,-1.877455849,10.48470196,-12.51212346,-1.935961907,2.782219041,-16.78751332
-0.360155,18.2017,-17.2941,0.795196896,9.271370029,-19.51645084,0.095523122,1.127241901,-23.454007,-1.818625341,10.5849471,-11.92384646,-1.904551335,2.587598593,-15.56377741
-0.356879,18.2653,-16.7212,0.810415271,9.473443441,-19.28332789,0.23530568,1.219111575,-23.35184412,-1.780178909,10.65462158,-11.36406392,-1.894252511,2.407465139,-14.34843921
-0.347901,18.3478,-16.1453,0.835135162,9.725736914,-19.06138643,0.349693275,1.36305517,-23.3012823,-1.740673676,10.7122078,-10.8351634,-1.873728809,2.275941015,-13.13954716
-0.335808,18.4415,-15.5606,0.88037933,10.03030061,-18.85942301,0.4457488,1.579296155,-23.1627704,-1.689697121,10.75575518,-10.32114813,-1.824246979,2.178857916,-11.93899488
-0.322823,18.5199,-14.9781,0.957413135,10.41086814,-18.76246423,0.557893896,1.817733766,-22.9660849,-1.651050853,10.77262303,-9.827108133,-1.790082848,2.106415241,-10.7596079
-0.307452,18.5829,-14.4079,0.995847667,10.5746042,-18.33001322,0.594020949,2.076651643,-22.69874754,-1.609376543,10.75905846,-9.354652407,-1.751072157,2.05145072,-9.617958852
-0.296919,18.6362,-13.8473,1.032871468,10.74091807,-17.90977739,0.621385438,2.344976759,-22.36310491,-1.557501275,10.71694494,-8.902070412,-1.714299196,2.014280971,-8.531911652
