root_x,root_y,root_z,lfemur_x,lfemur_y,lfemur_z,lfoot_x,lfoot_y,lfoot_z,ltoes_x,ltoes_y,ltoes_z,rfemur_x,rfemur_y,rfemur_z,rfoot_x,rfoot_y,rfoot_z,rtoes_x,rtoes_y,rtoes_z
8.24974,16.249,-31.1331,10.94887578,6.912967765,-29.87739162,10.1205199,0.625914588,-35.33328706,10.62517519,-0.220922841,-34.85163017,7.746390018,7.278965347,-28.54086746,8.704812576,-0.767062245,-28.14472822,8.800119775,-0.588321131,-27.04543527
8.23778,16.2609,-31.0244,10.94999931,6.946946931,-29.583049,10.14289499,0.618951643,-34.95899414,10.62206827,-0.269485766,-34.52902218,7.727941581,7.277565801,-28.51702136,8.696395609,-0.753597658,-28.15150891,8.795565709,-0.598300185,-27.04900048
8.22724,16.2651,-30.9194,10.95607764,6.975295143,-29.29301415,10.19718298,0.596086306,-34.57022363,10.69266128,-0.253610758,-34.08409597,7.710224814,7.273323741,-28.49620583,8.690849813,-0.732396103,-28.16007337,8.796970458,-0.623612897,-27.05265228
8.21674,16.2657,-30.8166,10.9612741,7.006855609,-29.00582167,10.24242387,0.57317588,-34.1645666,10.75216946,-0.222099593,-33.60644447,7.694088838,7.264937697,-28.46939085,8.68119763,-0.721565444,-28.16645652,8.782686143,-0.597986559,-27.06015404
8.20376,16.2676,-30.719,10.95718318,7.043897602,-28.72259663,10.25563321,0.513441032,-33.78899938,10.74391917,-0.326197923,-33.27871789,7.675661982,7.259930376,-28.43571826,8.671073899,-0.723518283,-28.17131272,8.760733166,-0.549442819,-27.07079658
8.19884,16.269,-30.6224,10.95078646,7.087548971,-28.44941698,10.26663886,0.415905664,-33.48627186,10.67913948,-0.562549744,-33.21009763,7.668489528,7.246692439,-28.39563924,8.678234463,-0.734713854,-28.17886648,8.769621045,-0.562749209,-27.07816057
8.19656,16.271,-30.5171,10.94450485,7.137123227,-28.18587105,10.32005414,0.478110659,-32.90411315,10.8376614,-0.177819146,-32.19302753,7.672482232,7.226016566,-28.34792033,8.68720425,-0.749279423,-28.18666056,8.787204051,-0.611565534,-27.08189282
8.19215,16.2658,-30.4153,10.93032391,7.17496014,-27.91172529,10.32466704,0.418263955,-32.46342872,10.81999544,-0.263169991,-31.76050518,7.659083001,7.21428755,-28.29673939,8.684948944,-0.748428713,-28.18397959,8.788715299,-0.641433364,-27.07616129
8.1888,16.2535,-30.3253,10.90768595,7.203935717,-27.63468805,10.35750293,0.360128258,-32.00016028,10.85232053,-0.273990593,-31.25393459,7.632226704,7.208247487,-28.24992841,8.681152728,-0.74093001,-28.17756686,8.782799839,-0.63618795,-27.06933682
8.18437,16.2426,-30.2344,10.88815172,7.242031742,-27.36788518,10.3917717,0.309584092,-31.52757232,10.88347838,-0.274655628,-30.73973195,7.624631523,7.197892881,-28.20668048,8.679362208,-0.73486598,-28.1819389,8.772146551,-0.582559021,-27.07845782
8.18118,16.234,-30.1388,10.86746082,7.287940654,-27.1077783,10.4239643,0.250257323,-31.06887331,10.90627308,-0.335826866,-30.27660599,7.626276784,7.182914841,-28.15726307,8.679050209,-0.713636272,-28.18670914,8.769053732,-0.541343061,-27.08594065
8.1777,16.2251,-30.0403,10.84210856,7.333027398,-26.85603315,10.46669398,0.18479836,-30.63042932,10.9505765,-0.395882663,-29.83514873,7.622970499,7.16523445,-28.10449922,8.683069227,-0.690430138,-28.1916696,8.778927677,-0.538103512,-27.08845402
8.17525,16.2112,-29.9402,10.81804852,7.375455151,-26.61180194,10.51408731,0.123849858,-30.18277324,11.00563279,-0.426282276,-29.37065156,7.625165208,7.140651686,-28.04794442,8.690230446,-0.704071082,-28.19170859,8.784357881,-0.536439147,-27.09056536
8.17509,16.1952,-29.8403,10.7949741,7.416327903,-26.3722772,10.55088426,0.069140096,-29.71376481,11.04245171,-0.446503118,-28.87933238,7.628974817,7.115717059,-27.99099441,8.692675144,-0.725114446,-28.18298379,8.775351343,-0.508656452,-27.08946313
8.17583,16.1844,-29.7377,10.77095069,7.458786369,-26.13659334,10.56872765,0.016308112,-29.2279536,11.05079754,-0.455575293,-28.36265675,7.627076576,7.098607667,-27.94310416,8.690406337,-0.723458734,-28.18532154,8.766975336,-0.484036309,-27.0961517
8.17935,16.1795,-29.6348,10.7399713,7.504271062,-25.90816992,10.58683774,-0.025935891,-28.7370289,11.05716413,-0.47552242,-27.85358733,7.620528365,7.087032456,-27.899397,8.688438584,-0.719768256,-28.19226778,8.764485967,-0.480311803,-27.10306888
8.1811,16.1733,-29.5338,10.70160818,7.547092123,-25.69131207,10.63038182,-0.062623827,-28.26421997,11.09553439,-0.562601986,-27.4054657,7.61675756,7.072741775,-27.86034175,8.690238971,-0.721276492,-28.19523732,8.763383362,-0.476384193,-27.10704869
8.18171,16.1669,-29.4315,10.66541198,7.586252295,-25.48221515,10.67116747,-0.086734176,-27.78815914,11.14571565,-0.380981287,-26.84368754,7.610002368,7.060039577,-27.82397586,8.689241382,-0.720848149,-28.19659361,8.752413108,-0.456151715,-27.11242482
8.18482,16.1614,-29.3288,10.63324889,7.624610144,-25.27463891,10.69218757,-0.095536521,-27.29187995,11.15626218,-0.226601035,-26.30635431,7.601032856,7.051002369,-27.78880932,8.689615584,-0.721186733,-28.19998085,8.743495549,-0.440729303,-27.11927857
8.18808,16.1472,-29.227,10.60403349,7.657239726,-25.07141491,10.71871486,-0.114908479,-26.79304962,11.17314795,-0.161464155,-25.79548905,7.604426468,7.033574978,-27.75830891,8.697654531,-0.728084859,-28.20383009,8.751465225,-0.450425863,-27.12240199
8.18985,16.1431,-29.1223,10.56807539,7.696747555,-24.88144961,10.74191773,-0.125738856,-26.30831656,11.1916627,-0.177193419,-25.30887379,7.610565171,7.020828289,-27.7314818,8.701530708,-0.728924799,-28.20269854,8.757773049,-0.459787759,-27.11924162
8.18875,16.1636,-29.0154,10.5244668,7.757656426,-24.70085535,10.75753344,-0.116620903,-25.83384463,11.20150208,-0.161003819,-24.83148444,7.608888755,7.025059402,-27.70987633,8.697030865,-0.716929993,-28.20157547,8.750749013,-0.450091344,-27.11742219
8.18548,16.1779,-28.9084,10.48297445,7.806407556,-24.52498046,10.77651752,-0.113885073,-25.35513678,11.21430171,-0.113499153,-24.34908071,7.599241767,7.026675023,-27.69683603,8.693324074,-0.71434248,-28.20237223,8.745787398,-0.460804367,-27.11497034
